"","countyfp","population","latitude","longitude","geo.display.label","median_house_value","total_units","median_rooms","mean_household_size_owners","mean_household_size_renters","built_2005_or_later","built_2000_to_2004","built_1990s","built_1980s","built_1970s","built_1960s","built_1950s","built_1940s","bedrooms_0","bedrooms_1","bedrooms_2","bedrooms_3","bedrooms_4","owners","renters","median_household_income","mean_household_income","vacant_ratio"
"32","1",1724,37.809381,-122.253441,"Census Tract 4037.02, Alameda County, California",377900,1184,3.5,1.54,1.67,0,0,0,5.3,9.2,25.8,15.3,7.9,5.8,59.7,30.7,3.7,0,18.9,81.1,66761,76234,0.0278716216216216
"33","1",3461,37.814476,-122.242249,"Census Tract 4038, Alameda County, California",720200,2033,4.2,2.37,1.7,0,2,1.6,1.2,10.7,4.2,12,8.7,7.9,32,32.5,15,10,33,67,78036,107081,0.0683718642400394
"34","1",3584,37.817368,-122.249127,"Census Tract 4039, Alameda County, California",426900,2374,3.7,1.92,1.58,0,0,3.6,7.5,20.2,28.7,8.8,0.7,3.6,43,42.4,6.2,2.4,33,67,61995,85867,0.0513900589721988
"35","1",2819,37.822454,-122.25253,"Census Tract 4040, Alameda County, California",429800,1835,3.5,1.53,1.54,1.3,1.3,1.9,4,20.3,27.2,9.3,4.3,3.8,53.2,35.2,3.3,2.1,23.1,76.9,61632,71972,0.0724795640326975
"36","1",2929,37.830348,-122.250622,"Census Tract 4041.01, Alameda County, California",682200,1892,3.6,1.98,1.56,0.7,2.5,0.6,3.2,9.2,12.6,11,5.4,7.8,40.1,35.8,12.9,3.3,39.8,60.2,73899,94146,0.109408033826638
"37","1",2283,37.825832,-122.251044,"Census Tract 4041.02, Alameda County, California",579700,1773,3.3,1.81,1.43,0.6,0,1.1,3.7,14.3,21.2,8.5,8,15.3,57.6,15.4,7.6,3.2,10.8,89.2,50684,67765,0.0981387478849408
"38","1",3483,37.837583,-122.229689,"Census Tract 4042, Alameda County, California",918900,1457,7.2,2.48,1.86,0,2.5,16.6,0.7,0.6,17.9,19.6,12.1,0,11,19.6,34,28.9,80.8,19.2,152853,198644,0.0439258750857927
"39","1",5314,37.844684,-122.2158,"Census Tract 4044, Alameda County, California",857400,2433,6,2.47,1.93,1.1,3.9,45.5,2.3,4.2,8.1,7.9,7.7,0,12,29.8,30.1,22.1,84.5,15.5,133347,165338,0.0957665433621044
"40","1",5784,37.834622,-122.202426,"Census Tract 4045.02, Alameda County, California",832000,2606,6.4,2.32,2.74,0.6,4,5.6,3.8,18.3,19.6,22.6,16.9,0.6,0.7,21.4,45.2,23.3,83.3,16.7,125714,152845,0.0514198004604758
"41","1",4353,37.824214,-122.192737,"Census Tract 4046, Alameda County, California",836000,1907,7,2.48,1.7,3.1,4.5,4.2,0.6,11.2,22.7,26.7,20.4,1.4,0,11.6,42.6,37.3,96.5,3.5,147778,189849,0.0477189302569481
"42","1",1954,37.812155,-122.207488,"Census Tract 4047, Alameda County, California",770800,842,7.4,2.56,2.6,0,0,1.9,1.7,7.2,11.3,17.3,18.4,0,2.9,18.3,49,23,83.5,16.5,137232,138297,0.0558194774346793
"43","1",2684,37.804704,-122.213272,"Census Tract 4048, Alameda County, California",648900,1337,4.6,2.51,1.42,0,0,0,1.2,2.3,19.5,16.4,9.7,9.2,22.7,34.9,25.7,6.2,57.7,42.3,88833,88446,0.0381451009723261
"44","1",4129,37.80394,-122.221525,"Census Tract 4049, Alameda County, California",599400,2032,5.1,2.23,2.3,0,0,0,5.2,2.3,0,11.1,6.2,0.6,21,39.2,29.5,6.4,60,40,65158,94377,0.0275590551181102
"45","1",3136,37.808241,-122.225708,"Census Tract 4050, Alameda County, California",721200,1663,5.8,2.62,1.67,0,0,0,1.7,3.5,6.9,3,13.1,2.6,20.6,26.5,30.5,17.8,63,37,108472,133830,0.138905592303067
"46","1",4197,37.811496,-122.232389,"Census Tract 4051, Alameda County, California",890700,1669,7.5,2.8,1.83,0,2.9,0.6,0.8,1.7,2.3,6.2,7,0,3.9,7.7,54.9,26.8,91.1,8.9,166554,212536,0.0605152786099461
"47","1",4597,37.805121,-122.244707,"Census Tract 4052, Alameda County, California",569700,2660,4.2,2.73,1.64,0,0,0.4,0.8,5.2,9.7,17.3,14.6,4.6,37.9,30.5,16.8,7.5,23.8,76.2,59332,72401,0.107894736842105
"48","1",2603,37.802213,-122.25137,"Census Tract 4053.01, Alameda County, California",438000,1680,3.5,1.51,1.65,0,2.7,0.7,3.1,12.3,15.9,10.9,6.4,14.4,42.4,36.8,2.7,2.9,11.9,88.1,61750,73818,0.0375
"49","1",2530,37.798371,-122.254529,"Census Tract 4053.02, Alameda County, California",528800,1623,2.7,2.22,1.75,0.2,0,0,9.1,9.3,11.7,11.5,11.4,20.7,64.4,10.6,4.1,0,3.9,96.1,20787,34790,0.0603820086260012
"50","1",3957,37.796502,-122.249274,"Census Tract 4054.01, Alameda County, California",325000,1815,3.3,3.38,2.23,0,0,0.8,1.8,10.6,8.8,13.3,14,15.1,43.3,23.6,10.2,5.7,18.3,81.7,27360,41809,0.142699724517906
"51","1",3114,37.793393,-122.245787,"Census Tract 4054.02, Alameda County, California",320400,1284,3.4,2.33,2.21,0,0,0,10.4,5.7,5.5,19.2,13.6,9.2,44.2,29,14.3,0,21.2,78.8,30534,42939,0.146417445482866
"52","1",3643,37.798377,-122.243251,"Census Tract 4055, Alameda County, California",423200,1745,4,3.3,2.03,0.5,2.9,0.6,6.6,6,10.8,12.1,15.6,12.4,26.5,31.3,21.4,4.2,22.4,77.6,41550,56051,0.103724928366762
"53","1",3137,37.800774,-122.237766,"Census Tract 4056, Alameda County, California",462300,1539,3.8,3.24,1.88,0,0.6,3.1,1,1.6,10.7,10.2,5.1,11.3,41.8,18.4,18.6,6.2,24.1,75.9,41820,53145,0.092267706302794
"54","1",3243,37.797944,-122.229405,"Census Tract 4057, Alameda County, California",394000,1530,3.7,3.23,2.07,0,0,0,12.1,3.6,14.9,16.3,19.8,13.4,32.7,32.8,16.7,3.6,29.6,70.4,43750,55855,0.210457516339869
"55","1",3965,37.793907,-122.233227,"Census Tract 4058, Alameda County, California",353300,1433,4.8,3.06,3.05,0,1,2.9,0.8,2.9,7.4,10.9,22.5,2.4,11,39.6,34.2,8.1,42.1,57.9,38472,48021,0.0942079553384508
"56","1",3910,37.787735,-122.236032,"Census Tract 4059.01, Alameda County, California",571700,1169,4.3,4.2,3.28,0,2.2,0,6.3,7.4,8,18.5,14.4,2.6,27.9,20,43.8,5.7,21.6,78.4,38879,44860,0.144568006843456
"57","1",3035,37.79099,-122.241014,"Census Tract 4059.02, Alameda County, California",332800,1054,4.5,3.17,3.23,6.9,0,2.6,5.5,9,4.9,15.7,15,4.4,20.2,43.3,27.1,4.1,35.8,64.2,38523,43573,0.0227703984819734
"58","1",3450,37.792134,-122.252325,"Census Tract 4060, Alameda County, California",402100,1589,3.2,3.93,2.2,0,2.8,4.5,13.5,13.7,6.2,16.3,11.6,14.5,42,19.9,18.8,2.6,7.9,92.1,24922,45824,0.110132158590308
"59","1",4381,37.775082,-122.229059,"Census Tract 4061, Alameda County, California",348900,1606,4.4,2.84,2.73,11.6,1.7,29,5.5,1.6,4.5,0,6.8,2.4,20.9,35.6,33.7,5,28.1,71.9,52917,59223,0.150062266500623
"60","1",4649,37.784942,-122.23063,"Census Tract 4062.01, Alameda County, California",416300,1607,4,3.69,3.76,1.9,1.1,6.9,2.6,12.1,6.6,3.4,31.1,7.6,30.5,33.5,20.5,6.8,15.5,84.5,29727,43231,0.140634723086497
"61","1",4718,37.782006,-122.226739,"Census Tract 4062.02, Alameda County, California",381400,1389,3.6,2.99,3.42,14.5,0,1.6,2.4,10.7,17.8,10.3,14.4,13.8,27.1,43.1,10,4.8,13.9,86.1,25417,40365,0.138228941684665
"62","1",4113,37.789134,-122.225086,"Census Tract 4063, Alameda County, California",304900,1368,4.5,3.68,3.26,1.8,1.6,0,8.4,15.4,13.2,9.1,5.7,6.7,20.2,31.1,20.9,17.2,42.3,57.7,37731,48206,0.123538011695906
"63","1",2145,37.794392,-122.22175,"Census Tract 4064, Alameda County, California",405100,803,4.4,3.33,2.29,0,1.5,5.4,8.6,0,18.7,7.1,14.8,9.7,8.1,41,39.5,1.5,44.3,55.7,48694,56143,0.0572851805728518
"64","1",5930,37.788388,-122.217093,"Census Tract 4065, Alameda County, California",342100,2059,4.4,3.82,2.91,1.4,2.4,5.3,0.5,5.2,7.9,14.3,22,2.1,18.2,45.6,23.8,8.9,39.3,60.7,34669,53048,0.177270519669743
"65","1",4596,37.793538,-122.208333,"Census Tract 4066.01, Alameda County, California",384900,1914,4.2,2.6,2.58,0,2.8,1.9,9.8,5.6,16.7,10,16.8,0.8,23.9,53.3,20.7,1.3,37.9,62.1,49357,53550,0.0574712643678161
"66","1",2493,37.795766,-122.214744,"Census Tract 4066.02, Alameda County, California",351000,1003,4.4,2.8,2.37,0,1.1,6,3.9,18.7,21.8,5.6,11.3,0,26.1,39.4,21.2,11.3,43.3,56.7,50793,64401,0.120638085742772
"67","1",5048,37.802231,-122.20407,"Census Tract 4067, Alameda County, California",540000,2363,5.2,2.5,1.9,3.7,0.3,6.4,3,6.3,10.5,8.6,20.6,1.9,10,41.8,39.2,4.7,69.3,30.7,94565,108294,0.0935251798561151
"68","1",3428,37.796987,-122.195694,"Census Tract 4068, Alameda County, California",524900,1505,5,2.59,2.55,0,0,0,3.5,17.9,6.6,12.2,20.1,0,14.9,37.1,34.9,9.2,67.7,32.3,72568,86191,0.0883720930232558
"69","1",3719,37.792556,-122.191739,"Census Tract 4069, Alameda County, California",556500,1626,5.2,2.51,2.58,0.7,0.7,4,6.7,10.6,10.4,17,15.6,0.6,4.4,48.4,27.2,17.5,61,39,77097,110022,0.0615006150061501
"70","1",5885,37.787523,-122.203288,"Census Tract 4070, Alameda County, California",306800,2350,4.3,3.15,2.75,2.6,0,1.1,8,6.7,10.8,15.1,13.3,5.1,20.8,45.2,19.2,5.5,41.6,58.4,37851,52790,0.145106382978723
"71","1",3414,37.783072,-122.214771,"Census Tract 4071.01, Alameda County, California",352300,1126,4.1,3.3,3.83,7.2,0,4.8,0,23.2,14.5,7.5,18.5,6.9,22.5,48.6,14.7,6,25.1,74.9,29432,47516,0.106571936056838
"72","1",4351,37.781064,-122.210336,"Census Tract 4071.02, Alameda County, California",361500,1403,4.6,3.66,2.92,0,2.4,1.9,1.4,3.8,17.8,3.4,11,2.1,15.4,39.9,38.1,4.5,52.9,47.1,42857,49629,0.134711332858161
"73","1",6746,37.778084,-122.219368,"Census Tract 4072, Alameda County, California",480400,1916,3.8,3.26,3.53,1.9,3.8,0.6,1.3,7.9,9.4,2.4,16,15.9,27.5,29,18.6,5.8,25.3,74.7,36667,47252,0.126304801670146
"74","1",2598,37.766422,-122.208745,"Census Tract 4073, Alameda County, California",202000,794,4.8,4.32,3.4,0,0,1.5,3.5,1.8,11.8,17.3,13.2,8.9,9.8,29,37.8,10.8,34.1,65.9,43224,56806,0.0642317380352645
"75","1",3954,37.770995,-122.206895,"Census Tract 4074, Alameda County, California",293500,1196,4.6,3.83,3.54,3.7,0,0.7,5.3,5,4.7,15.6,15,6.7,22.8,26.8,36.9,0.9,33.6,66.4,36552,53311,0.0652173913043478
"76","1",3931,37.769421,-122.197642,"Census Tract 4075, Alameda County, California",392600,1432,4.3,2.87,2.53,0,8.1,5.6,8.2,4.5,19.1,21.5,15.2,8.1,26.2,36,17,11.7,22,78,26848,35926,0.139664804469274
"77","1",6027,37.77719,-122.203607,"Census Tract 4076, Alameda County, California",416200,2386,4.8,2.9,2.96,0,3.1,1.2,5.2,1.8,13.7,15.5,9.8,3.7,14.7,46.7,22.1,8.7,48.4,51.6,47388,58782,0.0976529756915339
"78","1",4109,37.776356,-122.193265,"Census Tract 4077, Alameda County, California",425800,1913,5.7,2.48,2.1,0,0.8,0.6,2.8,0.6,1,6.3,19.4,5.5,2.4,45.3,39.6,6.3,80.7,19.3,69637,82043,0.0920020909566126
"79","1",2425,37.782023,-122.189557,"Census Tract 4078, Alameda County, California",413900,816,5.4,2.51,3.94,0,4.7,0,3.7,3.6,4,21.6,22.2,0,2.8,45.3,37.9,8,80,20,60469,71105,0.143382352941176
"80","1",2706,37.788232,-122.186216,"Census Tract 4079, Alameda County, California",528600,1257,5.2,2.61,1.99,0,1.8,1.8,3.4,2.8,4.4,24.1,26.6,0,13.8,46.8,23.9,11.4,80.9,19.1,90408,101662,0.155926809864757
"81","1",2671,37.802069,-122.181962,"Census Tract 4080, Alameda County, California",717600,1050,6.6,2.29,2.97,1.4,9.3,10.1,8.1,15.5,16.3,29,7.5,0.9,0.7,11.2,60.7,18.7,86.3,13.7,115729,134553,0.0647619047619048
"82","1",5991,37.78272,-122.15649,"Census Tract 4081, Alameda County, California",686700,2769,6.1,2.34,2.12,2.9,6,5.1,22.2,11.4,26.7,9.5,12.2,1.7,5.4,23,39.9,26.2,80.8,19.2,108468,139518,0.0942578548212351
"83","1",4054,37.774619,-122.176128,"Census Tract 4082, Alameda County, California",399300,1947,4.5,2.19,2.45,1.1,0,0,11,8.8,6.7,17.4,21.7,1.1,15.6,48.9,28.1,5.5,50,50,50186,61334,0.145865434001027
"84","1",4167,37.770292,-122.164941,"Census Tract 4083, Alameda County, California",391700,1941,5.3,2.7,2.83,0,0,3.7,6.7,1,13.9,21.7,30.1,0,10.7,40.1,37.4,11.5,69.1,30.9,52075,69759,0.0721277691911386
"85","1",3323,37.764837,-122.17107,"Census Tract 4084, Alameda County, California",264600,1413,4.9,3.09,3.25,0.5,1.2,3.9,0,4,2.2,9.4,28,0.7,17.2,44,33.4,3,50.9,49.1,35781,48911,0.205237084217976
"86","1",4972,37.760259,-122.178894,"Census Tract 4085, Alameda County, California",333400,1768,4.8,3.54,3.28,0.6,1.1,1.2,8.5,5.8,9,24.1,27,1.8,8.7,54.3,28.2,6.3,51.3,48.8,36429,43402,0.14027149321267
"87","1",5492,37.764969,-122.183777,"Census Tract 4086, Alameda County, California",280000,1971,4.9,3.54,3.2,0,11.3,9.2,1.8,2.5,7.4,10,20.6,1.6,18.5,45.2,23.1,8.2,44.9,55.1,33539,47571,0.145104008117707
"88","1",7207,37.768332,-122.18978,"Census Tract 4087, Alameda County, California",317400,2616,4.7,2.93,3.19,0.9,5.1,4.2,2.1,9.5,11.1,9,14.2,4.2,15.3,45.1,32.9,2.1,46.8,53.2,40680,46500,0.207186544342508
"89","1",5547,37.759438,-122.196713,"Census Tract 4088, Alameda County, California",347300,1899,4.4,3.97,2.9,10.9,10.4,3.5,4.2,3.8,7.7,18.4,28.3,1.3,16.6,41.5,36.1,2.3,27.4,72.6,22587,32622,0.109004739336493
"90","1",3414,37.755682,-122.186029,"Census Tract 4089, Alameda County, California",222500,1117,4.2,3.92,2.75,0,1.2,15,15.6,7.9,9.3,7.2,25.1,0,24.7,44.4,23,7,33.5,66.5,21216,29070,0.11727842435094
"91","1",3552,37.734916,-122.188832,"Census Tract 4090, Alameda County, California",275000,1117,5.1,3.22,3.94,0,0,9.3,3.8,9.5,1.7,25.5,40.8,0,2.1,32.2,50.5,9.1,43.2,56.8,35357,45816,0.0599820948970457
"92","1",2255,37.732071,-122.183268,"Census Tract 4091, Alameda County, California",268400,704,4.9,3.8,3.71,7.8,0,5,3.1,0,10.7,14.3,48.6,0,0,48.3,37.2,14.5,66,34,59655,68738,0.0767045454545455
"93","1",3152,37.729406,-122.178207,"Census Tract 4092, Alameda County, California",283100,980,4.7,3.42,3.21,1.9,0,13.7,1.7,2,9.9,18.8,49.6,0,4.7,47.1,42.1,6,63.4,36.6,40766,45616,0.11734693877551
"94","1",5229,37.738359,-122.172261,"Census Tract 4093, Alameda County, California",329900,1663,4.5,4.02,3.3,0.7,9.1,8.8,3.8,3.7,9.9,19.2,19.2,2.1,15.7,45.5,29,5.5,38,62,33934,46437,0.0751653638003608
"95","1",4306,37.745747,-122.176564,"Census Tract 4094, Alameda County, California",307900,1247,4.7,4.89,3.81,3.9,0,1.1,2.4,6,13.2,15.1,14.2,4.3,8.4,56.9,23.6,5.3,45.3,54.7,49083,56453,0.160384923817161
"96","1",3122,37.751321,-122.180804,"Census Tract 4095, Alameda County, California",348600,1034,4.8,3.99,4.05,6.3,2.7,0,0,1.4,12.5,22.4,26,2.5,11.5,41.3,32.8,11.9,33.7,66.3,34167,47780,0.168278529980658
"97","1",5063,37.753377,-122.172472,"Census Tract 4096, Alameda County, California",354400,1674,4.8,4,3.7,0,0,5.8,3.9,9.6,18.6,23.2,10.9,2.6,4.4,47.2,32.5,11.3,36.4,63.6,41778,51337,0.130824372759857
"98","1",4696,37.75562,-122.165716,"Census Tract 4097, Alameda County, California",264900,1792,4.4,3.71,2.78,0,1.9,3.7,4.7,4.6,16.5,19.9,12.3,0.7,17.2,49.8,29.6,2.6,32.6,67.4,35658,43381,0.1640625
"99","1",2887,37.759356,-122.157665,"Census Tract 4098, Alameda County, California",404200,1368,5.2,2.79,2.03,0,2.1,6.4,4.7,11.7,22.7,20.9,15.7,0,17.6,37.9,37.1,6.4,59.8,40.2,40189,64829,0.142543859649123
"100","1",3308,37.760102,-122.134933,"Census Tract 4099, Alameda County, California",585800,1481,6.2,2.32,1.88,0.9,0.3,0.7,6.5,18.6,19.9,34.4,12.4,2.6,0.7,13.1,55.8,23.5,90.7,9.3,108214,119078,0.0519918973666442
"101","1",2805,37.74341,-122.135552,"Census Tract 4100, Alameda County, California",548700,1228,6.1,2.29,4.2,0,0.2,1.1,6.3,12.9,20.5,26.5,18,0,3,24.2,55,16.9,91.6,8.4,77000,92989,0.0521172638436482
"102","1",2406,37.747626,-122.153917,"Census Tract 4101, Alameda County, California",370400,1045,5.3,2.68,3.28,0,0,6.8,14.7,9.1,4.2,28.6,18.3,0.9,11.5,28.7,41.5,12.9,52,48,41250,59405,0.061244019138756
"103","1",3062,37.745759,-122.157499,"Census Tract 4102, Alameda County, California",262500,1245,4.5,2.42,3.43,0.7,0,5.4,5.8,9.4,7.2,17.2,31.2,3.8,9.7,59.8,21,4.9,48,52,40474,51661,0.151004016064257
"104","1",3536,37.746755,-122.166517,"Census Tract 4103, Alameda County, California",362200,1103,4.2,4.14,4.21,1.2,0,11.4,0,2.4,17.2,20.4,33.6,3.7,14.1,53.8,24.8,2.4,31.5,68.5,32829,43247,0.0843155031731641
"105","1",3792,37.741093,-122.162165,"Census Tract 4104, Alameda County, California",271400,1397,5.1,3.2,3.58,0,15.5,1.8,1.9,3.8,7.2,16.4,18.1,3.8,11.1,39.2,37.7,7.4,65.8,34.2,44746,69077,0.0880458124552613
"106","1",2193,37.807099,-122.289823,"Census Tract 4105, Alameda County, California",388700,1120,4.2,2.93,2.24,2.2,17.4,11.1,9.3,8.7,7,13.6,3.3,5.2,22.1,40,22.6,7.1,12.8,87.2,19351,28868,0.0616071428571429
"107","1",2355,37.894631,-122.290916,"Census Tract 4201, Alameda County, California",704200,949,5.9,2.48,2.94,0,0.8,0,0,1.1,3.5,4.7,14.4,0,10.4,35,35.8,17.2,72.3,27.7,117000,133285,0.0326659641728135
"108","1",2898,37.894805,-122.297564,"Census Tract 4202, Alameda County, California",661000,1270,4.6,2.75,2.15,0,0,1.6,6,4.2,17.6,6.5,22,0.9,24.4,45.2,19.9,7.6,41.5,58.5,73665,84058,0.0338582677165354
"109","1",4571,37.892659,-122.303641,"Census Tract 4203, Alameda County, California",520600,2143,4.4,2.18,2.32,0.9,2.5,2.9,16.9,23.4,9.1,12.6,12.6,0,22.5,52.4,19.6,5.5,55.9,44.1,70242,87488,0.0769948670088661
"110","1",2308,37.886543,-122.295159,"Census Tract 4205, Alameda County, California",639200,1027,4.6,2.6,2.35,0,1.1,2,2.5,8.3,9.3,16.2,20.6,1.4,21.6,49.7,21,5.1,37,63,65726,89174,0.141187925998053
